bedrooms,bathrooms,m2_living,floors,m2_above,m2_basement,m2_lot,view,quality,yr_built,renovated_last_5,city,statezip,price
3,1.5,124.0,1.5,124.0,0.0,735.0,0,3,1961,0,37,63,313000.0
5,2.5,339.0,2.0,313.0,26.0,841.0,4,5,1927,1,36,59,2384000.0
3,2.0,179.0,1.0,179.0,0.0,1110.0,0,4,1972,1,19,27,342000.0
3,2.25,186.0,1.0,93.0,93.0,746.0,0,4,1969,1,4,8,420000.0
4,2.5,180.0,1.0,106.0,74.0,975.0,0,4,1982,0,32,32,550000.0
2,1.0,82.0,1.0,82.0,0.0,593.0,0,3,1944,0,36,55,490000.0
2,2.0,125.0,1.0,125.0,0.0,238.0,0,3,1982,1,32,32,335000.0
4,2.5,252.0,2.0,252.0,0.0,3332.0,0,3,1995,1,22,24,482000.0
3,2.5,226.0,1.0,146.0,80.0,8215.0,0,4,1991,1,28,28,452500.0
4,2.0,141.0,1.5,141.0,0.0,576.0,0,3,1951,0,36,55,640000.0
3,1.75,159.0,1.0,159.0,0.0,680.0,0,3,1954,0,21,68,463000.0
4,2.5,271.0,1.5,177.0,94.0,372.0,0,5,1915,0,36,49,1400000.0
3,1.75,216.0,1.0,183.0,33.0,1384.0,0,3,1986,1,34,43,588500.0
3,1.0,101.0,1.0,101.0,0.0,598.0,0,4,1961,0,36,50,365000.0
5,2.75,270.0,1.5,270.0,0.0,881.0,0,3,1945,0,36,49,1200000.0
3,1.5,111.0,1.0,111.0,0.0,903.0,0,4,1971,1,19,27,242500.0
3,1.5,146.0,1.0,146.0,0.0,622.0,0,4,1962,1,4,7,419000.0
4,3.0,289.0,2.0,289.0,0.0,672.0,0,3,2003,1,2,46,367500.0
3,1.75,127.0,1.0,127.0,0.0,544.0,0,3,1993,0,11,74,257950.0
3,1.5,110.0,1.0,110.0,0.0,955.0,0,3,1989,0,28,28,275000.0
3,1.75,208.0,2.0,144.0,64.0,983.0,0,5,1929,1,36,55,750000.0
4,1.0,135.0,1.0,135.0,0.0,818.0,0,4,1960,0,4,6,435000.0
3,2.25,163.0,2.5,137.0,26.0,146.0,0,3,2011,1,36,47,626000.0
4,2.5,254.0,2.0,254.0,0.0,1139.0,0,3,1997,1,6,10,612500.0
4,1.75,149.0,1.0,105.0,44.0,593.0,0,3,1965,0,36,61,495000.0
3,2.5,194.0,1.0,126.0,68.0,1007.0,0,4,1993,1,15,3,285000.0
3,1.75,219.0,1.0,126.0,93.0,677.0,0,4,1954,1,36,64,615000.0
4,2.25,204.0,1.5,121.0,84.0,1045.0,0,5,1926,1,20,22,698000.0
5,2.5,262.0,2.0,262.0,0.0,6273.0,0,3,1985,0,17,18,675000.0
3,2.5,242.0,1.0,158.0,84.0,441.0,0,4,1957,0,36,57,790000.0
4,1.75,145.0,1.0,145.0,0.0,808.0,0,4,1973,1,20,23,382500.0
4,2.5,266.0,2.0,203.0,62.0,311.0,0,3,2010,1,43,42,499950.0
4,2.0,169.0,1.5,152.0,17.0,465.0,1,3,1951,0,36,55,650000.0
4,2.5,262.0,2.0,262.0,0.0,781.0,0,3,2020,1,37,68,625000.0
4,2.5,337.0,1.5,214.0,124.0,3984.0,0,3,1985,0,2,46,400000.0
